symptom,department
만성 가려움·건조·찰흔(아토피),피부과
여드름 염증·흉터 걱정,피부과
물집/미란·통증(접촉피부염/부착 부위),피부과
원형 탈모/미만성 탈모,피부과
손발톱 변색/박리·무좀 의심,피부과
입술 수포·따가움(헤르페스),피부과
벌레 물림 후 심한 팽진·가려움,피부과
멍이 쉽게 들고 코피/출혈 경향,혈액종양내과
열+피부 발진+점막 병변(스티븐스-존슨),응급의학과
갑작스런 전신 발진·혈압저하(아나필락시스),응급의학과

눈 충혈·이물감·가려움(결막염),안과
갑작스런 시야 흐림/커튼 내려옴(망막박리 의심),응급의학과
눈의 번개/날파리 증가(망막열공 가능),안과
한쪽 시력 저하·안구 통증·빛 번짐(급성 녹내장),응급의학과
안검 떨림/피로 시 악화,안과
안구 건조·모래알 느낌(건성안),안과

코막힘·재채기·수양성 콧물(알레르기 비염),이비인후과
부비동 통증·농성 콧물·구취(부비동염),이비인후과
연하통·고열·편도부종(편도염),이비인후과
이명·난청·어지럼(메니에르 의심),이비인후과
중이통·삼출액·청력저하(중이염),이비인후과

발열·오한·몸살(원인 미상),감염내과
고열과 심한 두통·목 경직(수막염 의심),응급의학과
장티푸스/말라리아 여행력 후 발열,감염내과
비정형 폐렴 의심(마른 기침·발열·흉통),호흡기내과
재발성 발열·야간 발한·체중감소,혈액종양내과

체중이 불가해하게 감소,내분비내과
다음·다뇨·다식(당뇨 의심),내분비내과
갑상선 비대·심계항진·체중감소,내분비내과
피로·부종·저체온(갑상선저하),내분비내과
고혈압·야간 두통·가슴두근(이차성 고혈압 의심),내분비내과
쿠싱 의심(중심성 비만·보라색 선조),내분비내과
고지혈증·황색종,내분비내과

소변 시 통증·빈뇨·절박뇨(방광염),비뇨의학과
옆구리 심한 통증·혈뇨(요로결석),비뇨의학과
소변 줄기 약함·잔뇨감(전립선비대),비뇨의학과
밤에 소변 자주·수면 방해,비뇨의학과
요실금(복압/절박),비뇨의학과
발기부전·성기 통증,비뇨의학과
고열+오한+옆구리통(신우신염),응급의학과

질 분비물 증가·악취·가려움(질염),산부인과
불규칙 질출혈·행위 후 출혈,산부인과
심한 생리통·월경과다·혈괴,산부인과
임신 의심/양성 테스트,산부인과
임신 20주 이후 두통·부종·시야장애(전자간증 의심),응급의학과
하복부 통증·발열·골반통(PID),산부인과
월경전 증후군·기분변화,산부인과
폐경 증상(안면홍조·불면),산부인과

치통·찬 것에 시림(치수염 의심),치과
잇몸 붓고 출혈(치주염),치과
턱관절 통증·개구 제한,구강악안면외과
구내염·구강 궤양 반복,치과
악취·고름 배농(치근단 농양),치과

아이 고열(≥39℃)·보챔·수분섭취 저하,소아청소년과
아이 기침·콧물·천명,소아청소년과
아이 구토·설사·탈수 의심,소아청소년과
발진성 질환 의심(홍역/수두/풍진),소아청소년과
경련 첫 발생·의식 소실,응급의학과
성장 지연·체중 정체,소아청소년과
소아 반복 복통·야간 통증,소아청소년과

불안·가슴 답답·호흡곤란감(공황),정신건강의학과
우울·의욕 저하·불면,정신건강의학과
강박적 생각/행동·일상 지장,정신건강의학과
트라우마 후 악몽·과각성(PTSD),정신건강의학과
주의집중 저하·산만(성인 ADHD 의심),정신건강의학과
자살 사고/계획 언급,응급의학과

다리 붓고 저림·저녁 악화(정맥류),혈관외과
한쪽 다리 급성 붓고 통증·열감(DVT 의심),응급의학과
손발 창백→청색→홍조(레이노),류마티스내과
손목/손가락 아침 뻣뻣·대칭 통증(류마티스),류마티스내과
반복 구강궤양·포도막염·피부병변(베체트 의심),류마티스내과

외상 후 열상/찢어진 상처,성형외과
화상(수포/광범위/얼굴·손),성형외과
코 변형/호흡 곤란(비중격),성형외과
만성 상처·당뇨발,성형외과

숨쉴 때 흉통·기침 시 악화(기흉/흉막염),흉부외과
흉부 외상 후 호흡곤란·피토,응급의학과

암 의심·림프절 비대·야간발한·체중감소,혈액종양내과
빈혈 증상(어지럼·창백·피로),혈액종양내과
백혈구/혈소판 이상·반복 감염/출혈,혈액종양내과

수술 후 지속 통증·일상 지장(통증 클리닉),마취통증의학과
신경병증 통증(화끈/전기 찌름),마취통증의학과
대상포진 후 신경통,마취통증의학과

직업성 손목·어깨 통증·반복 사용,직업환경의학과
야간 작업 후 불면·피로·집중력 저하,가정의학과

원인 불명 전신 피로·수면 질 저하,가정의학과
금연/비만/영양 상담 원함,가정의학과

코로나19 의심(발열·기침·후각소실),감염내과
롱코비드(피로·브레인포그·호흡곤란),호흡기내과

치매 의심(기억력 저하·길 잃음·계산력 저하),신경과
수면무호흡 의심(코골이·주간졸림),이비인후과
발작 의심(이상행동/깜빡임·기억 공백),신경과
머리카락이 점점 빠져요,피부과
정수리 쪽 머리숱이 줄어들고 두피가 보여요,피부과
앞머리 M자 부분이 점점 넓어져요,피부과
머리를 감을 때 머리카락이 한 움큼 빠져요,피부과
최근 스트레스 이후 머리카락이 갑자기 빠졌어요,피부과
출산 후 머리카락이 많이 빠져요,피부과
갑상선 기능 이상 이후 머리카락이 빠져요,내분비내과
체중 변화와 함께 머리카락이 빠져요,내분비내과
원형으로 동그랗게 머리카락이 빠졌어요,피부과
머리 한쪽에 동전 크기 탈모 부위가 생겼어요,피부과
여러 군데 원형탈모 부위가 번지고 있어요,피부과
눈썹이나 수염에도 털이 빠지고 있어요,피부과
두피가 가렵고 각질이 생기며 머리카락이 빠져요,피부과
두피에 진물과 염증이 생기고 머리카락이 빠져요,피부과
지루성 두피염으로 비듬이 심하고 탈모가 있어요,피부과
두피가 따갑고 화끈거리며 머리카락이 빠져요,피부과
빈혈 진단 이후 머리카락이 빠져요,혈액종양내과
영양 부족(다이어트 후)으로 머리카락이 빠져요,가정의학과
탈모약 복용 후 이상 반응이 있어요,피부과
유전적으로 아버지도 탈모가 심해요,피부과
여성인데 정수리 중심으로 머리카락이 얇아졌어요,피부과
폐경 이후 머리카락이 많이 빠져요,산부인과
호르몬 치료 중 머리카락이 빠져요,내분비내과
최근 항암치료 이후 머리카락이 빠졌어요,혈액종양내과
정신적 스트레스로 머리카락을 뽑는 습관이 있어요,정신건강의학과
스트레스를 받으면 머리카락이 한쪽에서 갑자기 빠져요,정신건강의학과
두피가 따갑고 땀날 때 통증이 있어요,피부과
두피에 염증성 여드름처럼 붉은 혹이 생기며 탈모돼요,피부과
남성형 탈모로 헤어라인이 뒤로 밀려요,피부과
여성형 탈모로 정수리 숱이 전반적으로 줄어요,피부과
두피에 각질이 많고 냄새가 나요,피부과
탈모와 함께 손톱이 약해졌어요,내분비내과
수면 부족과 스트레스 이후 탈모가 심해요,정신건강의학과
머리카락이 가늘어지고 쉽게 끊어져요,피부과
철분제 복용 중인데도 머리카락이 계속 빠져요,내분비내과
머리카락이 빠지면서 전신 피로가 심해요,내과
두피가 따갑고 쓰라린 통증이 있어요,피부과
탈모와 함께 얼굴에 여드름이 생겼어요,내분비내과
다낭성난소증후군 진단 후 탈모가 생겼어요,산부인과
머리카락이 빠지면서 체모가 늘었어요,내분비내과
두피에 피지 과다로 끈적이고 냄새가 나요,피부과
탈모 부위가 번지고 흉터처럼 변해요(반흔성 탈모),피부과
두피에 딱지가 앉고 머리카락이 자라지 않아요,피부과
탈모약(피나스테리드/두타스테리드) 복용 후 성기능 저하가 있어요,비뇨의학과
모발이 얇아지고 윤기가 사라졌어요,피부과
두피에 벌레가 기어가는 느낌이 들어요,정신건강의학과
두피열이 심하고 뜨거운 느낌이 들어요,피부과
헤어 염색이나 펌 후 머리카락이 많이 빠졌어요,피부과
샴푸나 트리트먼트 사용 후 두피 따가움·탈모,피부과
비듬이 심하고 탈모 부위가 넓어져요,피부과
